Student,LPIPS,SSIM
111590062.png,0.0,1.0
113590039.png,0.17904731631278992,0.7681313447966274
112590455.png,0.21543638408184052,0.6887471833373804
113590001.png,0.218962162733078,0.6939759765895592
113370239.png,0.24873661994934082,0.7017057946589063
113590051.png,0.26069313287734985,0.6816612660047089
111590047.png,0.2854076623916626,0.6860320750894809
113590015.png,0.29410699009895325,0.6623061149119556
113590021.png,0.2950444221496582,0.6210038406342492
113590031.png,0.2988423705101013,0.6422251516971639
113590045.png,0.3006547689437866,0.6407330413964624
113590004.png,0.3024975061416626,0.723642500562063
113590052.png,0.30371224880218506,0.6160785985960272
113590022.png,0.30510416626930237,0.6552280482268599
112590454.png,0.30523329973220825,0.6515963356559427
113590026.png,0.30997171998023987,0.6938687974183101
113590047.png,0.3194509446620941,0.7216868999892955
113590003.png,0.3214375972747803,0.6850478192033846
113590044.png,0.323085218667984,0.6153654845249195
112590040.png,0.3320721685886383,0.641806873073124
113590043.png,0.3345431983470917,0.7509786205365361
113590056.png,0.3359931707382202,0.6550843263855015
111590028.png,0.34103721380233765,0.6802480826974796
113590025.png,0.35628023743629456,0.7443916322293928
110590455.png,0.3634432554244995,0.6645358776096566
113590028.png,0.367933988571167,0.5953165146139032
113AC1012.png,0.37687644362449646,0.641055141782089
111590042.png,0.3804619014263153,0.7524576502302456
114054809.png,0.3817954659461975,0.6484605891824713
113590018.png,0.39001789689064026,0.5962116860177897
113590062.png,0.39081159234046936,0.581696239668522
113590002.png,0.39691027998924255,0.6134393529673657
113590011.png,0.40628305077552795,0.5778650116757812
113590042.png,0.40701812505722046,0.5797020185213874
113590023.png,0.41521191596984863,0.5324894431940406
113590010.png,0.4158695340156555,0.5915017346975022
113590057.png,0.4292577803134918,0.5914418848765376
113590006.png,0.43245983123779297,0.5472274048877951
113590059.png,0.4404202103614807,0.536078081629496
113590049.png,0.4602126479148865,0.487496879097486
111590455.png,0.5206089019775391,0.5113909228958573
113590008.png,0.5295787453651428,0.4526304538057324
